Timestamp,Object Name,Video
8.384,Zone2_MasterNode_camera,Uninitialized
8.412,Zone2_MasterNode_camera,Uninitialized
8.434,Zone2_MasterNode_camera,Uninitialized
8.455,Zone2_MasterNode_camera,Uninitialized
8.476,Zone2_MasterNode_camera,Uninitialized
8.497,Zone2_MasterNode_camera,Uninitialized
8.517,Zone2_MasterNode_camera,Uninitialized
8.537,Zone2_MasterNode_camera,Uninitialized
8.559,Zone2_MasterNode_camera,Uninitialized
8.579,Zone2_MasterNode_camera,Uninitialized
8.615,Zone2_MasterNode_camera,Uninitialized
8.635,Zone2_MasterNode_camera,Uninitialized
8.656,Zone2_MasterNode_camera,Uninitialized
8.677,Zone2_MasterNode_camera,Uninitialized
8.698,Zone2_MasterNode_camera,Uninitialized
8.724,Zone2_MasterNode_camera,Uninitialized
8.744,Zone2_MasterNode_camera,Uninitialized
8.765,Zone2_MasterNode_camera,Uninitialized
8.787,Zone2_MasterNode_camera,Uninitialized
8.808,Zone2_MasterNode_camera,Uninitialized
8.828,Zone2_MasterNode_camera,Uninitialized
8.848,Zone2_MasterNode_camera,Uninitialized
8.879,Zone2_MasterNode_camera,Uninitialized
8.912,Zone2_MasterNode_camera,Uninitialized
8.943,Zone2_MasterNode_camera,Uninitialized
8.975,Zone2_MasterNode_camera,Uninitialized
8.996,Zone2_MasterNode_camera,Uninitialized
9.017,Zone2_MasterNode_camera,Uninitialized
9.037,Zone2_MasterNode_camera,Uninitialized
9.057,Zone2_MasterNode_camera,Uninitialized
9.083,Zone2_MasterNode_camera,Uninitialized
9.104,Zone2_MasterNode_camera,Uninitialized
9.124,Zone2_MasterNode_camera,Uninitialized
9.144,Zone2_MasterNode_camera,Uninitialized
9.176,Zone2_MasterNode_camera,Uninitialized
9.198,Zone2_MasterNode_camera,Uninitialized
9.218,Zone2_MasterNode_camera,Uninitialized
9.239,Zone2_MasterNode_camera,Uninitialized
9.260,Zone2_MasterNode_camera,Uninitialized
9.280,Zone2_MasterNode_camera,Uninitialized
9.301,Zone2_MasterNode_camera,Uninitialized
9.322,Zone2_MasterNode_camera,Uninitialized
9.343,Zone2_MasterNode_camera,Uninitialized
9.364,Zone2_MasterNode_camera,Uninitialized
9.386,Zone2_MasterNode_camera,Uninitialized
9.407,Zone2_MasterNode_camera,Uninitialized
9.427,Zone2_MasterNode_camera,Uninitialized
9.456,Zone2_MasterNode_camera,Uninitialized
